instance rep algorithm time dynamic heuristic queue reduction polynomials monomials degree sreductions zeroreductions
katsuranh5 15 static 0.10 0.00 0.00 0.02 0.06 13 168 5 31 18
katsuranh5 16 static 0.10 0.00 0.00 0.02 0.06 13 168 5 31 18
katsuranh5 17 static 0.11 0.00 0.00 0.02 0.07 13 168 5 31 18
katsuranh5 18 static 0.11 0.00 0.00 0.03 0.06 13 168 5 31 18
katsuranh5 19 static 0.11 0.00 0.00 0.03 0.07 13 168 5 31 18
katsuranh5 20 static 0.13 0.00 0.00 0.03 0.08 13 168 5 31 18
katsuranh5 21 static 0.10 0.00 0.00 0.02 0.06 13 168 5 31 18
katsuranh5 22 static 0.09 0.00 0.00 0.02 0.05 13 168 5 31 18
katsuranh5 23 static 0.11 0.00 0.00 0.03 0.06 13 168 5 31 18
katsuranh5 24 static 0.10 0.00 0.00 0.02 0.05 13 168 5 31 18
katsuranh5 25 static 0.09 0.00 0.00 0.02 0.06 13 168 5 31 18
katsuranh5 26 static 0.16 0.00 0.00 0.04 0.09 13 168 5 31 18
katsuranh5 27 static 0.12 0.00 0.00 0.03 0.07 13 168 5 31 18
katsuranh5 28 static 0.13 0.00 0.00 0.03 0.08 13 168 5 31 18
katsuranh5 29 static 0.11 0.00 0.00 0.02 0.07 13 168 5 31 18
katsuran6 0 static 0.55 0.00 0.00 0.09 0.42 22 528 6 70 48
katsuran6 1 static 0.66 0.00 0.00 0.10 0.51 22 528 6 70 48
katsuran6 2 static 0.57 0.00 0.00 0.09 0.44 22 528 6 70 48
katsuran6 3 static 0.47 0.00 0.00 0.08 0.37 22 528 6 70 48
katsuran6 4 static 0.51 0.00 0.00 0.08 0.40 22 528 6 70 48
katsuran6 5 static 0.45 0.00 0.00 0.09 0.33 22 528 6 70 48
katsuran6 6 static 0.45 0.00 0.00 0.06 0.36 22 528 6 70 48
katsuran6 7 static 0.41 0.00 0.00 0.06 0.33 22 528 6 70 48
katsuran6 8 static 0.41 0.00 0.00 0.08 0.31 22 528 6 70 48
katsuran6 9 static 0.46 0.00 0.00 0.08 0.35 22 528 6 70 48
katsuran6 10 static 0.39 0.00 0.00 0.07 0.29 22 528 6 70 48
katsuran6 11 static 0.45 0.00 0.00 0.06 0.36 22 528 6 70 48
katsuran6 12 static 0.41 0.00 0.00 0.07 0.31 22 528 6 70 48
katsuran6 13 static 0.43 0.00 0.00 0.07 0.33 22 528 6 70 48
katsuran6 14 static 0.41 0.00 0.00 0.07 0.31 22 528 6 70 48
katsuran6 15 static 0.43 0.00 0.00 0.06 0.34 22 528 6 70 48
katsuran6 16 static 0.42 0.00 0.00 0.07 0.32 22 528 6 70 48
katsuran6 17 static 0.43 0.00 0.00 0.07 0.33 22 528 6 70 48
katsuran6 18 static 0.51 0.00 0.00 0.09 0.39 22 528 6 70 48
katsuran6 19 static 0.47 0.00 0.00 0.08 0.36 22 528 6 70 48
katsuran6 20 static 0.55 0.00 0.00 0.09 0.43 22 528 6 70 48
katsuran6 21 static 0.51 0.00 0.00 0.08 0.39 22 528 6 70 48
katsuran6 22 static 0.60 0.00 0.00 0.08 0.48 22 528 6 70 48
katsuran6 23 static 0.61 0.00 0.00 0.10 0.46 22 528 6 70 48
katsuran6 24 static 0.58 0.00 0.00 0.11 0.43 22 528 6 70 48
katsuran6 25 static 0.49 0.00 0.00 0.07 0.39 22 528 6 70 48
katsuran6 26 static 0.48 0.00 0.00 0.08 0.37 22 528 6 70 48
katsuran6 27 static 0.44 0.00 0.00 0.06 0.34 22 528 6 70 48
katsuran6 28 static 0.43 0.00 0.00 0.07 0.33 22 528 6 70 48
katsuran6 29 static 0.39 0.00 0.00 0.06 0.30 22 528 6 70 48
katsuranh6 0 static 0.40 0.00 0.00 0.06 0.31 22 528 6 70 48
katsuranh6 1 static 0.39 0.00 0.00 0.07 0.29 22 528 6 70 48
katsuranh6 2 static 0.44 0.00 0.00 0.07 0.35 22 528 6 70 48
